trial_num,number,letter,trans,trial_type,correct
1,1,A,1,1,0
2,9,I,2,2,0
3,8,R,3,3,0
4,7,K,3,1,0
5,4,I,3,3,1
6,2,M,1,3,0
7,8,A,3,2,0
8,4,M,2,1,1
9,9,U,2,2,0
10,6,K,2,1,1
11,2,G,3,3,0
12,1,M,1,3,0
13,9,K,3,1,0
14,3,A,1,1,0
15,1,R,1,1,0
16,7,G,3,3,0
17,4,U,3,2,1
18,8,R,1,2,0
19,9,E,2,1,0
20,8,M,1,1,1
21,4,R,3,3,0
22,8,M,3,2,0
23,4,K,2,1,1
24,3,I,1,1,0
25,8,A,2,2,0
26,1,E,2,1,0
27,3,A,3,3,1
28,6,K,3,2,0
29,4,E,3,3,1
30,3,M,1,3,0
31,4,K,1,3,0
32,8,U,1,3,1
33,8,G,1,3,0
34,6,G,1,3,0
35,3,E,1,3,1
36,8,A,3,2,0
37,1,E,2,1,0
38,4,K,1,1,1
39,3,I,2,2,1
40,2,A,1,2,1
41,3,R,1,2,1
42,7,M,3,3,0
43,4,A,3,1,1
44,3,U,3,3,1
45,1,K,1,3,0
46,2,A,1,3,1
47,8,U,1,3,1
48,1,A,1,3,1
49,7,K,3,1,0
50,9,M,2,2,0
51,7,K,2,1,0
52,4,A,1,1,1
53,1,R,2,2,1
54,6,E,1,2,0
55,1,U,2,1,0
56,9,A,3,3,1
57,4,I,3,2,1
58,1,R,2,1,0
59,7,E,1,1,0
60,4,U,3,3,1
61,8,U,1,3,1
62,6,K,3,2,0
63,7,M,1,2,0
64,8,K,1,2,0
65,4,G,3,3,0
66,2,A,3,1,1
67,9,E,1,1,0
68,4,U,1,1,1
69,8,K,3,3,0
70,6,R,3,2,0
71,9,A,2,1,0
72,2,G,2,2,1
73,8,I,3,3,1
74,4,M,3,2,1
75,8,U,2,1,1
76,6,R,2,2,0
77,8,K,3,3,0
78,1,E,3,1,0
79,8,M,2,2,0
80,4,A,3,3,1
81,6,M,1,3,0
82,3,I,1,3,1
83,9,K,3,2,0
84,7,U,2,1,0
85,1,K,2,2,1
86,7,R,1,2,0
87,8,M,1,2,0
88,4,E,2,1,1
89,3,M,2,2,1
90,1,I,2,1,0
91,4,K,1,1,1
92,6,M,3,3,0
93,3,A,3,1,0
94,1,G,3,3,0
95,1,K,3,2,1
96,8,A,3,3,1
97,7,U,3,1,0
98,2,E,2,2,1
99,8,R,1,2,0
100,1,U,2,1,0
