trial_num,number,letter,trans,trial_type,correct
1,1,A,1,1,0
2,6,R,3,3,0
3,4,K,3,2,1
4,6,R,3,3,0
5,4,G,3,1,1
6,7,M,3,3,0
7,4,A,3,2,1
8,9,G,3,3,0
9,1,R,3,1,0
10,6,M,3,3,0
11,4,A,3,2,1
12,1,U,2,1,0
13,9,M,2,2,0
14,8,R,1,2,0
15,7,U,2,1,0
16,4,K,1,1,1
17,2,G,2,2,1
18,3,K,3,3,0
19,2,I,3,2,1
20,9,R,3,3,0
21,3,I,3,1,0
22,1,K,3,3,0
23,6,R,1,3,0
24,8,A,1,3,1
25,2,G,1,3,0
26,1,K,1,3,0
27,2,I,1,3,1
28,8,K,1,3,0
29,7,R,1,3,0
30,4,I,3,2,1
31,7,K,3,3,0
32,6,R,3,2,0
33,8,M,1,2,0
34,7,K,3,3,0
35,9,I,3,2,0
36,8,K,2,1,1
37,9,U,3,3,1
38,1,I,1,3,1
39,6,K,3,2,0
40,1,A,2,1,0
41,2,U,1,1,1
42,3,G,3,3,0
43,4,A,3,1,1
44,9,R,3,3,0
45,6,I,3,2,0
46,7,K,1,2,0
47,2,I,1,2,1
48,8,M,1,2,0
49,1,A,2,1,0
50,3,M,1,1,0
51,7,R,2,2,0
52,4,A,3,3,1
53,6,M,3,1,1
54,2,A,1,1,1
55,3,M,1,1,0
56,6,E,2,2,0
57,1,K,2,1,0
58,3,I,1,1,0
59,6,G,3,3,0
60,2,U,3,2,1
61,3,I,1,2,1
62,1,K,2,1,0
63,2,U,3,3,1
64,3,M,3,2,1
65,2,R,2,1,1
66,4,I,2,2,1
67,3,A,2,1,0
68,2,I,3,3,1
69,7,G,3,1,0
70,2,U,3,3,1
71,6,K,3,1,1
72,9,E,1,1,0
73,2,R,1,1,1
74,8,I,3,3,1
75,9,U,3,1,0
76,8,E,1,1,1
77,2,M,2,2,1
78,6,G,2,1,1
79,2,U,2,2,1
80,9,E,3,3,1
81,8,K,1,3,0
82,1,E,1,3,1
83,6,M,3,1,1
84,9,E,2,2,0
85,6,R,1,2,0
86,2,U,2,1,1
87,3,A,2,2,1
88,4,G,3,3,0
89,3,U,1,3,1
90,1,R,1,3,0
91,1,A,3,2,1
92,2,K,2,1,1
93,3,U,1,1,0
94,1,E,2,2,1
95,9,M,3,3,0
96,3,R,3,1,0
97,7,I,2,2,0
98,3,G,3,3,0
99,7,M,3,2,0
100,8,E,2,1,1
101,2,A,2,2,1
102,7,I,2,1,0
103,2,A,3,3,1
104,3,M,3,1,0
105,9,I,2,2,0
106,3,U,1,2,1
