trial_num,number,letter,trans,trial_type,correct
1,1,A,1,1,0
2,6,G,3,3,0
3,7,R,1,3,0
4,8,M,3,2,0
5,3,A,3,3,1
6,7,G,1,3,0
7,4,U,3,1,1
8,3,E,1,1,0
9,1,K,3,3,0
10,7,R,3,2,0
11,6,M,2,1,1
12,3,I,1,1,0
13,8,A,3,3,1
14,9,G,1,3,0
15,8,A,1,3,1
16,3,R,1,3,0
17,4,G,3,2,1
18,8,M,3,3,0
19,3,G,1,3,0
20,7,U,3,1,0
21,6,I,1,1,1
22,9,A,2,2,0
23,6,R,3,3,0
24,4,A,1,3,1
25,8,G,1,3,0
26,7,K,3,1,0
27,6,U,2,2,0
28,7,R,3,3,0
29,2,U,1,3,1
30,2,E,1,3,1
31,3,A,3,1,0
32,1,M,2,2,1
33,2,K,2,1,1
34,6,A,2,2,0
35,8,U,3,3,1
36,7,A,3,1,0
37,4,M,1,1,1
38,6,R,1,1,1
39,3,E,3,3,1
40,6,I,3,2,0
41,4,K,3,3,0
42,2,G,1,3,0
43,1,A,3,1,0
44,6,I,1,1,1
45,7,U,2,2,0
46,4,K,1,2,1
47,2,A,1,2,1
48,6,G,2,1,1
49,1,U,1,1,0
50,9,R,2,2,0
51,8,E,1,2,0
52,3,R,2,1,0
53,6,U,1,1,1
54,8,M,3,3,0
55,4,K,3,1,1
56,8,U,1,1,1
57,2,I,1,1,1
58,3,E,2,2,1
59,7,A,1,2,0
60,2,E,1,2,1
61,7,G,2,1,0
62,8,I,2,2,0
63,1,A,2,1,0
64,3,K,2,2,1
65,8,A,3,3,1
66,3,G,3,2,1
67,6,E,2,1,1
68,1,A,2,2,1
69,2,M,1,2,1
70,7,I,1,2,0
71,8,U,1,2,0
72,3,G,3,3,0
73,2,I,3,2,1
74,7,G,2,1,0
75,1,E,1,1,0
76,4,R,3,3,0
77,2,U,3,1,1
78,6,G,2,2,0
79,2,A,3,3,1
80,1,E,1,3,1
81,9,G,3,2,0
82,7,I,3,3,1
83,1,U,3,2,1
84,9,K,2,1,0
85,4,E,2,2,1
86,2,G,1,2,1
87,1,U,1,2,1
88,2,M,1,2,1
89,8,U,1,2,0
90,3,E,3,3,1
91,9,G,1,3,0
92,8,K,1,3,0
93,7,G,1,3,0
94,8,E,3,2,0
95,6,R,2,1,1
96,1,A,1,1,0
97,2,E,3,3,1
98,1,I,3,1,0
99,8,A,2,2,0
100,4,U,2,1,1
101,2,M,2,2,1
102,8,I,1,2,0
103,1,E,2,1,0
104,2,U,3,3,1
